Completed in 6262.875s

0.568182 (0.126964) with: {'batch_size': 144, 'epochs': 500, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 144, 'epochs': 500, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 144, 'epochs': 500, 'lr': 0.1}
0.606061 (0.168282) with: {'batch_size': 168, 'epochs': 50, 'lr': 0.001}
0.568182 (0.126964) with: {'batch_size': 168, 'epochs': 50, 'lr': 0.005}
0.590909 (0.145758) with: {'batch_size': 168, 'epochs': 50, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 168, 'epochs': 50, 'lr': 0.1}
0.674242 (0.166300) with: {'batch_size': 168, 'epochs': 100, 'lr': 0.001}
0.662879 (0.100593) with: {'batch_size': 168, 'epochs': 100, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 168, 'epochs': 100, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 168, 'epochs': 100, 'lr': 0.1}
0.674242 (0.204710) with: {'batch_size': 168, 'epochs': 150, 'lr': 0.001}
0.568182 (0.126964) with: {'batch_size': 168, 'epochs': 150, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 168, 'epochs': 150, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 168, 'epochs': 150, 'lr': 0.1}
0.621212 (0.161772) with: {'batch_size': 168, 'epochs': 200, 'lr': 0.001}
0.587121 (0.140479) with: {'batch_size': 168, 'epochs': 200, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 168, 'epochs': 200, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 168, 'epochs': 200, 'lr': 0.1}
0.678030 (0.179301) with: {'batch_size': 168, 'epochs': 250, 'lr': 0.001}
0.643939 (0.155361) with: {'batch_size': 168, 'epochs': 250, 'lr': 0.005}
0.590909 (0.158526) with: {'batch_size': 168, 'epochs': 250, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 168, 'epochs': 250, 'lr': 0.1}
0.613636 (0.177361) with: {'batch_size': 168, 'epochs': 300, 'lr': 0.001}
0.568182 (0.126964) with: {'batch_size': 168, 'epochs': 300, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 168, 'epochs': 300, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 168, 'epochs': 300, 'lr': 0.1}
0.655303 (0.133259) with: {'batch_size': 168, 'epochs': 350, 'lr': 0.001}
0.662879 (0.178052) with: {'batch_size': 168, 'epochs': 350, 'lr': 0.005}
0.617424 (0.155002) with: {'batch_size': 168, 'epochs': 350, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 168, 'epochs': 350, 'lr': 0.1}
0.731061 (0.126859) with: {'batch_size': 168, 'epochs': 400, 'lr': 0.001}
0.647727 (0.139597) with: {'batch_size': 168, 'epochs': 400, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 168, 'epochs': 400, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 168, 'epochs': 400, 'lr': 0.1}
0.742424 (0.158866) with: {'batch_size': 168, 'epochs': 450, 'lr': 0.001}
0.568182 (0.126964) with: {'batch_size': 168, 'epochs': 450, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 168, 'epochs': 450, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 168, 'epochs': 450, 'lr': 0.1}
0.587121 (0.140479) with: {'batch_size': 168, 'epochs': 500, 'lr': 0.001}
0.602273 (0.171730) with: {'batch_size': 168, 'epochs': 500, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 168, 'epochs': 500, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 168, 'epochs': 500, 'lr': 0.1}
0.662879 (0.188460) with: {'batch_size': 192, 'epochs': 50, 'lr': 0.001}
0.632576 (0.111272) with: {'batch_size': 192, 'epochs': 50, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 192, 'epochs': 50, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 192, 'epochs': 50, 'lr': 0.1}
0.689394 (0.133506) with: {'batch_size': 192, 'epochs': 100, 'lr': 0.001}
0.590909 (0.158526) with: {'batch_size': 192, 'epochs': 100, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 192, 'epochs': 100, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 192, 'epochs': 100, 'lr': 0.1}
0.651515 (0.165047) with: {'batch_size': 192, 'epochs': 150, 'lr': 0.001}
0.621212 (0.190096) with: {'batch_size': 192, 'epochs': 150, 'lr': 0.005}
0.579545 (0.135553) with: {'batch_size': 192, 'epochs': 150, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 192, 'epochs': 150, 'lr': 0.1}
0.643939 (0.186936) with: {'batch_size': 192, 'epochs': 200, 'lr': 0.001}
0.621212 (0.187409) with: {'batch_size': 192, 'epochs': 200, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 192, 'epochs': 200, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 192, 'epochs': 200, 'lr': 0.1}
0.662879 (0.198785) with: {'batch_size': 192, 'epochs': 250, 'lr': 0.001}
0.587121 (0.140479) with: {'batch_size': 192, 'epochs': 250, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 192, 'epochs': 250, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 192, 'epochs': 250, 'lr': 0.1}
0.598485 (0.160186) with: {'batch_size': 192, 'epochs': 300, 'lr': 0.001}
0.598485 (0.167046) with: {'batch_size': 192, 'epochs': 300, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 192, 'epochs': 300, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 192, 'epochs': 300, 'lr': 0.1}
0.700758 (0.129388) with: {'batch_size': 192, 'epochs': 350, 'lr': 0.001}
0.568182 (0.126964) with: {'batch_size': 192, 'epochs': 350, 'lr': 0.005}
0.613636 (0.168146) with: {'batch_size': 192, 'epochs': 350, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 192, 'epochs': 350, 'lr': 0.1}
0.606061 (0.167253) with: {'batch_size': 192, 'epochs': 400, 'lr': 0.001}
0.568182 (0.126964) with: {'batch_size': 192, 'epochs': 400, 'lr': 0.005}
0.617424 (0.155002) with: {'batch_size': 192, 'epochs': 400, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 192, 'epochs': 400, 'lr': 0.1}
0.689394 (0.183792) with: {'batch_size': 192, 'epochs': 450, 'lr': 0.001}
0.598485 (0.167046) with: {'batch_size': 192, 'epochs': 450, 'lr': 0.005}
